Geographic Identifier,Percent Rich Houses
42001030101,0.240040858
42001030102,0.223099704
42001030200,0.143110323
42001030300,0.152796726
42001030400,0.131042749
42001030500,0.146206046
42001030600,0.211984172
42001030700,0.140547264
42001030800,0.166963332
42001030900,0.083542488
42001031000,0.132743363
42001031101,0.0625
42001031102,0.192962543
42001031201,0.244005642
42001031202,0.214125561
42001031203,0.233652313
42001031300,0.104942038
42001031401,0.195741758
42001031402,0.142376682
42001031501,0.337579618
42001031502,0.145376804
42001031600,0.311447084
42001031700,0.119596542
42003010300,0
42003020100,0.204671174
42003020300,0.25984252
42003030500,0.025203252
42003040200,0.031034483
42003040300,0.62195122
42003040400,0.145292809
42003040500,0
42003040600,0.009355509
42003040900,0.038800705
42003050100,0.020682523
42003050600,0.085497835
42003050700,0.068219634
42003050900,0.014388489
42003051000,0.008310249
42003051100,0
42003060300,0.021638331
42003060500,0.152447552
42003070300,0.349337748
42003070500,0.212868633
42003070600,0.208955224
42003070800,0.230375427
42003070900,0.157692308
42003080200,0.007658643
42003080400,0.03410475
42003080600,0.099630996
42003080700,0.038537549
42003080900,0.036663611
42003090100,0.010183299
42003090200,0.054765292
42003090300,0.012113055
42003100500,0.135552913
42003101100,0.043956044
42003101400,0.150151976
42003101600,0
42003101700,0.104166667
42003101800,0.163265306
42003110200,0.1184521
42003110600,0.348245614
42003111300,0.022544283
42003111400,0.019077901
42003111500,0.02457265
42003120100,0
42003120200,0.037344398
42003120300,0.047895501
42003120400,0.036363636
42003120700,0
42003120800,0
42003130100,0.027466938
42003130200,0.082706767
42003130300,0.011538462
42003130400,0.014109347
42003130600,0.036514523
42003140100,0.569607843
42003140200,0.291314374
42003140300,0.462372449
42003140400,0.507374631
42003140500,0.139713971
42003140600,0.393476752
42003140800,0.264705882
42003141000,0.32962963
42003141100,0.243421053
42003141300,0.149881983
42003141400,0.272033575
42003150100,0.088797814
42003150400,0
42003151500,0.092670598
42003151600,0.098082596
42003151700,0.138279933
42003160300,0.025198939
42003160400,0
42003160600,0
42003160700,0
42003160800,0.063529412
42003160900,0.187908497
42003170200,0.118944844
42003170600,0.183457052
42003180300,0.031479538
42003180600,0.059101655
42003180700,0.084821429
42003180900,0.080094229
42003190300,0.206837607
42003191100,0.198912199
42003191400,0.127833753
42003191500,0.031158715
42003191600,0.07393617
42003191700,0.075437538
42003191800,0.096326531
42003191900,0.065789474
42003192000,0.063492063
42003192100,0.555555556
42003201600,0.128404669
42003201700,0
42003201800,0.017132552
42003201900,0
42003202000,0.074974671
42003202100,0.056994819
42003202200,0.074468085
42003202300,0.133779264
42003210700,0.133982948
42003210800,0
42003220100,0.083743842
42003220400,0.054205607
42003220500,0.371584699
42003220600,0.194388778
42003230400,0.089298893
42003240600,0.097378277
42003241200,0.018092105
42003250300,0.160305344
42003250700,0.052238806
42003250900,0.014880952
42003260200,0.086223984
42003260700,0.174165457
42003260900,0.011385199
42003261200,0.159554731
42003261400,0.038793103
42003261500,0.03625
42003262000,0.068010076
42003270100,0.151079137
42003270300,0.048623853
42003270400,0.099547511
42003270800,0.106595092
42003271500,0.044756179
42003280500,0
42003280700,0.082926829
42003280800,0
42003281100,0.14829932
42003281200,0.059130435
42003281400,0.042071197
42003281500,0.115983027
42003290100,0.030985915
42003290200,0.04040404
42003290400,0.094742607
42003300100,0.091534756
42003310100,0
42003310200,0.168348045
42003310300,0.383027523
42003320400,0.108695652
42003320600,0.147977941
42003320700,0.059945504
42003401100,0.129620253
42003401200,0.075604053
42003401300,0.158526135
42003402000,0.034733441
42003403500,0.103296703
42003404000,0.0681458
42003405000,0.141129032
42003406000,0.174512055
42003407001,0.164018692
42003407002,0.208548268
